fold,train_size,val_size,train_Torn_pos,val_Torn_pos,train_Folded_pos,val_Folded_pos,train_Burnt_pos,val_Burnt_pos,train_Stain_pos,val_Stain_pos,Torn_status,Folded_status,Burnt_status,Stain_status,val_micro_f1,val_macro_f1,val_hamming_loss,val_jaccard
0,72,18,65,16,37,10,3,1,43,11,nonpositive_w_evidence_-0.00732,calibrated,fallback_v2_anchor_N4_limitation,calibrated,0.716,0.6269,0.2556,0.6019
1,72,18,65,16,37,10,3,1,43,11,calibrated,calibrated,fallback_v2_anchor_N4_limitation,calibrated,0.7073,0.5876,0.2667,0.6204
2,72,18,65,16,38,9,3,1,43,11,calibrated,calibrated,fallback_v2_anchor_N4_limitation,calibrated,0.6905,0.5122,0.2889,0.5833
3,72,18,65,16,38,9,3,1,43,11,nonpositive_w_evidence_-0.00814,calibrated,fallback_v2_anchor_N4_limitation,calibrated,0.5714,0.5233,0.3667,0.4676
4,72,18,64,17,38,9,4,0,44,10,nonpositive_w_evidence_-0.00277,calibrated,fallback_v2_anchor_N4_limitation,calibrated,0.4932,0.3778,0.4111,0.4074
